"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1742",116,0,50.5,28.5,24
"1743",128,0.00103137445598362,26.5,14.5,34.0000171895743
"1744",144,0,41,24,56
"1745",149,0,65,37,50
"1746",151,0,58.5,33.5,44
"1747",156,0,53,31,24
"1748",161,0,26.5,14.5,26
"1749",187,0.00191757679665879,30.5,17.5,6.00003195961328
"1750",186,0,6,3,28
"1751",185,0,31.5,17.5,44
"1752",184,0,51,29,36
"1753",183,0,40,22,38
"1754",182,0,45,26,20
"1755",181,0,21,11,32
"1756",180,0,36.5,20.5,22
"1757",179,0,27.5,16.5,18
"1758",178,0,21.5,12.5,40
"1759",177,0,46,26,28
"1760",162,0.00191757679665879,30.5,16.5,30.0000319596133
"1761",150,0.00298270600252735,32.5,17.5,10.0000497117667
"1762",163,0.00298270600252735,10,5,46.0000497117667
"1763",176,0,54,31,22
"1764",148,0.00610440974534531,25,14,10.0001017401624
"1765",147,0,10,5,36
"1766",146,0,43,25,20
"1767",145,0,25,15,48
"1768",103,0.00642941985704655,57,33,24.0001071569976
"1769",102,0,27,15,22
"1770",101,0,23,12,44
"1771",106,0.00107995530553668,53,31,58.0000179992551
"1772",109,0.00135115083630145,67.5,38.5,44.0000225191806
"1773",114,0.000250818528660342,53,31,36.0000041803088
"1774",113,0,43,25,32
"1775",112,0,40,24,30
"1776",111,0,32.5,17.5,30
"1777",108,0.00228058372104496,36.5,21.5,6.00003800972868
"1778",107,0.00135115083630145,7,4,30.0000225191806
"1779",99,0.00181148249222186,34,19,12.0000301913749
"1780",98,0,13.5,7.5,38
"1781",97,0,44,25,8
"1782",105,0.00369864549429469,10,6,30.0000616440916
"1783",126,0.00732808965278915,34,19,16.0001221348275
"1784",125,0,19,11,28
"1785",124,0,32,18,24
"1786",123,0,25,13,32
"1787",122,0,37.5,21.5,14
"1788",121,0,16.5,9.5,2
"1789",120,0,2,1,22
"1790",119,0,24,13,36
"1791",155,0.00482029711944687,41,23,16.0000803382853
"1792",154,0,18.5,10.5,30
"1793",153,0,34.5,19.5,34
"1794",152,0,38,21,32
"1795",175,0.0028571028178988,40,24,14.0000476183803
"1796",174,0,14,7,40
"1797",173,0,49,29,38
"1798",172,0,45.5,26.5,18
"1799",171,0,22,13,44
"1800",170,0,52,30,16
"1801",169,0,19,11,34
"1802",168,0,41,24,34
